證券代號,證券名稱,投信買賣超股數
6770,力積電          ,4189000
2883,開發金          ,2779000
2634,漢翔            ,2242000
3037,欣興            ,2027000
3231,緯創            ,1372000
2455,全新            ,1103000
2204,中華            ,999000
1605,華新            ,905000
3017,奇鋐            ,822513
2353,宏碁            ,819000
2454,聯發科          ,667000
2303,聯電            ,648000
9904,寶成            ,634000
6202,盛群            ,579000
4968,立積            ,542000
2330,台積電          ,514800
2308,台達電          ,513000
2301,光寶科          ,511000
2344,華邦電          ,499000
4938,和碩            ,480000
2379,瑞昱            ,-247260
6443,元晶            ,-259000
3034,聯詠            ,-286000
2002,中鋼            ,-287000
4977,眾達-KY         ,-293000
3702,大聯大          ,-340000
2049,上銀            ,-343000
3035,智原            ,-350000
2337,旺宏            ,-408000
2605,新興            ,-450000
6799,來頡            ,-495000
5388,中磊            ,-500000
4919,新唐            ,-587000
6789,采鈺            ,-705000
3006,晶豪科          ,-829000
3711,日月光投控      ,-845400
4961,天鈺            ,-1652000
8150,南茂            ,-1935000
6239,力成            ,-2394000
2409,友達            ,-4759000
